SUBJECT;LABEL;DICE
117122;Amygdala;0.0
117122;GreyMatter;0.6551303854235127
117122;Hippocampus;0.15347422600015598
117122;Thalamus;0.21399900874676273
117122;WhiteMatter;0.7199142677654189
117122-PP;Amygdala;0.0
117122-PP;GreyMatter;0.6551303854235127
117122-PP;Hippocampus;0.15347422600015598
117122-PP;Thalamus;0.21399900874676273
117122-PP;WhiteMatter;0.7199142677654189
118528;Amygdala;0.0
118528;GreyMatter;0.6224246367382347
118528;Hippocampus;0.13709671422941652
118528;Thalamus;0.2097501282911617
118528;WhiteMatter;0.741033378659565
118528-PP;Amygdala;0.0
118528-PP;GreyMatter;0.6224246367382347
118528-PP;Hippocampus;0.13709671422941652
118528-PP;Thalamus;0.2097501282911617
118528-PP;WhiteMatter;0.741033378659565
118730;Amygdala;0.0
118730;GreyMatter;0.6194096997963802
118730;Hippocampus;0.12616124419877145
118730;Thalamus;0.24937973580097902
118730;WhiteMatter;0.7158717948152769
118730-PP;Amygdala;0.0
118730-PP;GreyMatter;0.6194096997963802
118730-PP;Hippocampus;0.12616124419877145
118730-PP;Thalamus;0.24937973580097902
118730-PP;WhiteMatter;0.7158717948152769
118932;Amygdala;0.0
118932;GreyMatter;0.6648034478619739
118932;Hippocampus;0.14706563313236834
118932;Thalamus;0.2225961374706223
118932;WhiteMatter;0.7091023405215638
118932-PP;Amygdala;0.0
118932-PP;GreyMatter;0.6648034478619739
118932-PP;Hippocampus;0.14706563313236834
118932-PP;Thalamus;0.2225961374706223
118932-PP;WhiteMatter;0.7091023405215638
120111;Amygdala;0.0
120111;GreyMatter;0.6442340699260621
120111;Hippocampus;0.15073778951381206
120111;Thalamus;0.21111860462040968
120111;WhiteMatter;0.7474765781484961
120111-PP;Amygdala;0.0
120111-PP;GreyMatter;0.6442340699260621
120111-PP;Hippocampus;0.15073778951381206
120111-PP;Thalamus;0.21111860462040968
120111-PP;WhiteMatter;0.7474765781484961
122317;Amygdala;0.0
122317;GreyMatter;0.6359892741551867
122317;Hippocampus;0.13626651126651126
122317;Thalamus;0.19467395283166866
122317;WhiteMatter;0.7056154830414924
122317-PP;Amygdala;0.0
122317-PP;GreyMatter;0.6359892741551867
122317-PP;Hippocampus;0.13626651126651126
122317-PP;Thalamus;0.19467395283166866
122317-PP;WhiteMatter;0.7056154830414924
122620;Amygdala;0.0
122620;GreyMatter;0.632055299925582
122620;Hippocampus;0.12935634856751035
122620;Thalamus;0.22372656540657707
122620;WhiteMatter;0.7311690238407048
122620-PP;Amygdala;0.0
122620-PP;GreyMatter;0.632055299925582
122620-PP;Hippocampus;0.12935634856751035
122620-PP;Thalamus;0.22372656540657707
122620-PP;WhiteMatter;0.7311690238407048
123117;Amygdala;0.0
123117;GreyMatter;0.6394021752774688
123117;Hippocampus;0.14689853436568545
123117;Thalamus;0.2053642300175428
123117;WhiteMatter;0.7344052567886418
123117-PP;Amygdala;0.0
123117-PP;GreyMatter;0.6394021752774688
123117-PP;Hippocampus;0.14689853436568545
123117-PP;Thalamus;0.2053642300175428
123117-PP;WhiteMatter;0.7344052567886418
123925;Amygdala;0.0
123925;GreyMatter;0.618125692905768
123925;Hippocampus;0.16110778500936673
123925;Thalamus;0.20508300978967678
123925;WhiteMatter;0.6969119984458128
123925-PP;Amygdala;0.0
123925-PP;GreyMatter;0.618125692905768
123925-PP;Hippocampus;0.16110778500936673
123925-PP;Thalamus;0.20508300978967678
123925-PP;WhiteMatter;0.6969119984458128
124422;Amygdala;0.0
124422;GreyMatter;0.6245926897795885
124422;Hippocampus;0.15050040573437923
124422;Thalamus;0.23494036750708985
124422;WhiteMatter;0.727819856191922
124422-PP;Amygdala;0.0
124422-PP;GreyMatter;0.6245926897795885
124422-PP;Hippocampus;0.15050040573437923
124422-PP;Thalamus;0.23494036750708985
124422-PP;WhiteMatter;0.727819856191922
